net,length_um
net2633,174.64µm
u_wm0.u_dm.data_mem\[14\]\[19\],174.6µm
net1474,174.29µm
u_wm0.u_dm.data_mem\[1\]\[27\],174.25µm
u_wm0.u_dm.data_mem\[3\]\[18\],174.18µm
_2929_,173.855µm
_1688_,173.68µm
u_wm0.u_dm.data_mem\[1\]\[17\],173.43µm
_1930_,172.76µm
net1245,172.5µm
net1612,172.24µm
clknet_leaf_28_clk,171.83µm
u_wm0.u_dm.data_mem\[15\]\[13\],171.75µm
net1765,171.54µm
net1473,170.89µm
net2802,170.68µm
clknet_leaf_35_clk,170.58µm
net1257,170.44µm
_1458_,170.41µm
clknet_leaf_34_clk,170.24µm
_1319_,170.08µm
net1167,170µm
net1260,169.85µm
net2488,169.84µm
net2521,169.72µm
_1946_,169.7µm
net1909,169.33µm
net2707,169.3µm
u_wm0.u_dm.data_mem\[10\]\[18\],169.21µm
U_rf0.rd\[6\]\[31\],168.74µm
net2076,168.48µm
net1656,168.46µm
net2031,168.05µm
clknet_leaf_40_clk,168.02µm
net1302,167.6µm
net1229,167.48µm
net2752,167.4µm
_2663_,167.16µm
_1920_,167.15µm
u_wm0.u_dm.data_mem\[14\]\[21\],167.1µm
u_wm0.u_dm.data_mem\[12\]\[18\],166.82µm
net1211,166.5µm
net2630,166.44µm
net1423,166.22µm
_3121_,165.78µm
clknet_leaf_42_clk,165.62µm
net1273,165.2µm
net1182,165.11µm
result[0],165.04µm
net1239,164.96µm
net1433,164.9µm
_3017_,164.69µm
u_wm0.u_dm.data_mem\[2\]\[21\],164.58µm
net2464,164.38µm
net1824,164.33µm
_3131_,164.32µm
u_wm0.u_dm.data_mem\[12\]\[13\],164.22µm
clknet_leaf_36_clk,163.82µm
U_rf0.rd\[3\]\[19\],163.76µm
net1922,163.72µm
_2873_,163.49µm
net1290,163.34µm
_1059_,163.11µm
net1316,162.935µm
clknet_leaf_38_clk,162.86µm
net1203,162.83µm
net1807,162.68µm
clknet_leaf_31_clk,162.54µm
net1418,162.395µm
net1236,161.78µm
u_wm0.u_dm.data_mem\[8\]\[9\],161.57µm
net1562,161.35µm
net1859,161.315µm
net2683,161.06µm
net1845,160.785µm
net2693,160.72µm
net1782,160.56µm
pc\[25\],160.18µm
clknet_leaf_24_clk,160.02µm
net1776,159.9µm
net1817,159.79µm
_2760_,159.04µm
net1709,158.76µm
net2425,158.69µm
net1686,158.475µm
u_wm0.u_dm.data_mem\[0\]\[17\],157.96µm
rst,157.25µm
u_wm0.u_dm.data_mem\[8\]\[14\],157.02µm
clknet_leaf_43_clk,156.78µm
net1424,156.37µm
net1536,156.295µm
net1274,156.025µm
clknet_leaf_10_clk,155.75µm
net1292,155.38µm
