net,length_um
_2681_,70.29µm
pc_plus4\[2\],70.285µm
u_wm0.u_dm.data_mem\[15\]\[20\],70.28µm
net2972,70.24µm
result[4],70.22µm
net1718,69.945µm
net1938,69.855µm
net1117,69.77µm
_2909_,69.68µm
_2977_,69.63µm
u_wm0.u_dm.data_mem\[9\]\[14\],69.58µm
net2110,69.54µm
u_wm0.u_dm.data_mem\[4\]\[27\],69.48µm
net2465,69.31µm
net2073,69.2µm
U_rf0.rd\[5\]\[2\],69.16µm
net1095,69.12µm
U_rf0.rd\[1\]\[7\],69.1µm
U_rf0.rd\[7\]\[28\],69.08µm
net1988,69.06µm
net1602,69.05µm
net1662,69.04µm
_1304_,68.97µm
pc\[17\],68.9µm
_2664_,68.88µm
U_rf0.rd\[2\]\[30\],68.68µm
_2941_,68.64µm
_2848_,68.61µm
net1320,68.6µm
net1529,68.54µm
net1386,68.215µm
U_rf0.rd\[6\]\[12\],68.08µm
U_rf0.rd\[4\]\[14\],68.06µm
pc\[8\],68.05µm
U_rf0.rd\[4\]\[28\],68.02µm
net1702,67.91µm
net1759,67.85µm
_0814_,67.78µm
_1394_,67.37µm
net3007,67.34µm
_3228_,67.31µm
_1109_,67.28µm
net1635,67.26µm
u_wm0.u_dm.data_mem\[11\]\[18\],67.18µm
net1675,67.13µm
net1127,66.88µm
u_pc.pc\[31\],66.88µm
U_rf0.rd\[4\]\[7\],66.74µm
net1315,66.64µm
u_wm0.u_dm.data_mem\[10\]\[9\],66.53µm
U_rf0.rd\[7\]\[2\],66.49µm
U_rf0.rd\[2\]\[2\],66.24µm
_1872_,66.24µm
net1407,66.2µm
net1417,66.195µm
net1129,66.13µm
_0784_,66.06µm
U_rf0.rd\[3\]\[10\],66µm
net1421,65.96µm
U_rf0.rd\[6\]\[0\],65.88µm
net2558,65.82µm
U_rf0.rd\[3\]\[17\],65.58µm
U_rf0.rd\[7\]\[13\],65.5µm
net1693,65.465µm
_2946_,65.38µm
net171,65.36µm
net2067,65.3µm
net2083,65.23µm
net1732,65.18µm
_0787_,64.72µm
net1122,64.695µm
U_rf0.rd\[3\]\[1\],64.63µm
_2758_,64.6µm
U_rf0.rd\[5\]\[11\],64.48µm
net2449,64.45µm
_1111_,64.24µm
net1642,64.23µm
U_rf0.rd\[4\]\[22\],64.08µm
net1156,64.05µm
net2032,63.98µm
pc_plus4\[4\],63.94µm
net1772,63.935µm
_1898_,63.88µm
net1666,63.85µm
_1646_,63.8µm
_2993_,63.78µm
net1937,63.7µm
U_rf0.rd\[5\]\[6\],63.68µm
net1306,63.68µm
U_rf0.rd\[5\]\[17\],63.65µm
_1976_,63.64µm
net2043,63.6µm
net1105,63.56µm
net1940,63.52µm
_2726_,63.32µm
net1991,63.3µm
_1205_,63.28µm
U_rf0.rd\[7\]\[30\],63.26µm
net1682,63.08µm
_2780_,62.98µm
net2062,62.81µm
_1636_,62.73µm
_0934_,62.67µm
U_rf0.rd\[6\]\[4\],62.59µm
_1023_,62.36µm
net1933,62.28µm
net1748,62.16µm
U_rf0.rd\[2\]\[6\],62.08µm
_3211_,62µm
net1932,61.88µm
net1763,61.805µm
net1930,61.8µm
net1480,61.7µm
pc_plus4\[26\],61.7µm
net1976,61.435µm
u_wm0.u_dm.data_mem\[3\]\[11\],61.24µm
U_rf0.rd\[1\]\[3\],61.16µm
net2003,61.16µm
U_rf0.rd\[5\]\[22\],61.1µm
_1783_,60.86µm
net1978,60.7µm
net2408,60.68µm
net2064,60.67µm
_1611_,60.66µm
net1130,60.59µm
result[5],60.56µm
net2026,60.55µm
net2035,60.54µm
net1616,60.52µm
U_rf0.rd\[4\]\[30\],60.425µm
U_rf0.rd\[3\]\[28\],60.4µm
net1802,60.4µm
U_rf0.rd\[3\]\[6\],60.36µm
net1539,60.33µm
U_rf0.rd\[5\]\[18\],60.31µm
U_rf0.rd\[10\]\[17\],60.28µm
net2950,60.26µm
U_rf0.rd\[6\]\[14\],60.12µm
net2140,60.08µm
U_rf0.rd\[7\]\[18\],59.98µm
net1839,59.94µm
net2059,59.94µm
_1158_,59.935µm
net1120,59.8µm
net2060,59.78µm
net2588,59.66µm
net2050,59.64µm
net1634,59.59µm
_1353_,59.56µm
_2736_,59.44µm
_2751_,59.24µm
U_rf0.rd\[3\]\[27\],59.08µm
net1133,58.96µm
_2920_,58.92µm
U_rf0.rd\[6\]\[3\],58.9µm
u_wm0.u_dm.data_mem\[2\]\[16\],58.88µm
net2088,58.87µm
net1115,58.82µm
_1127_,58.76µm
net1715,58.74µm
net2066,58.72µm
net2762,58.72µm
U_rf0.rd\[6\]\[2\],58.67µm
net2058,58.63µm
_1773_,58.46µm
_2675_,58.4µm
U_rf0.rd\[2\]\[31\],58.38µm
net1545,58.31µm
net1632,58.22µm
net1434,58.12µm
net1726,58.08µm
net2042,58.05µm
_1295_,58.02µm
_3000_,57.94µm
_0782_,57.84µm
net1960,57.72µm
net2070,57.52µm
_3254_,57.42µm
U_rf0.rd\[3\]\[26\],57.38µm
net2775,57.34µm
u_wm0.u_dm.data_mem\[11\]\[20\],57.3µm
u_wm0.u_dm.data_mem\[4\]\[26\],57.3µm
U_rf0.rd\[7\]\[4\],57.24µm
net1995,57.24µm
net1111,57.2µm
net2183,57.14µm
net1931,57.1µm
_2964_,57.06µm
_1532_,57µm
_1526_,56.98µm
_1572_,56.91µm
_1390_,56.89µm
net2419,56.78µm
u_wm0.u_dm.data_mem\[3\]\[27\],56.58µm
net2046,56.45µm
U_rf0.rd\[5\]\[20\],56.44µm
_0855_,56.08µm
U_rf0.rd\[2\]\[7\],56µm
_0034_,55.96µm
u_wm0.u_dm.data_mem\[9\]\[9\],55.95µm
net2061,55.91µm
_0819_,55.88µm
U_rf0.rd\[4\]\[13\],55.84µm
u_wm0.u_dm.data_mem\[2\]\[0\],55.84µm
net1911,55.71µm
net1683,55.71µm
net1140,55.7µm
U_rf0.rd\[6\]\[10\],55.64µm
_2730_,55.58µm
u_wm0.u_dm.data_mem\[6\]\[25\],55.56µm
net2179,55.48µm
net2418,55.46µm
net1138,55.44µm
_1297_,55.4µm
U_rf0.rd\[3\]\[31\],55.36µm
net1766,55.305µm
net2027,55.21µm
_1033_,55.18µm
net1955,55.08µm
u_wm0.u_dm.data_mem\[5\]\[29\],55µm
U_rf0.rd\[5\]\[14\],54.94µm
_2811_,54.88µm
_1248_,54.81µm
_0913_,54.76µm
U_rf0.rd\[5\]\[19\],54.68µm
_1726_,54.65µm
net174,54.56µm
U_rf0.rd\[6\]\[16\],54.32µm
net2079,54.32µm
net1590,54.16µm
_3120_,54.16µm
net2754,54.06µm
net1977,54µm
net1992,54µm
U_rf0.rd\[3\]\[30\],53.98µm
net1385,53.915µm
net1481,53.78µm
pc\[2\],53.74µm
net2044,53.69µm
_2928_,53.65µm
net1753,53.64µm
_1362_,53.62µm
U_rf0.rd\[1\]\[0\],53.52µm
_3216_,53.46µm
net2368,53.42µm
net1996,53.4µm
net1671,53.39µm
net1827,53.24µm
net1246,53.23µm
_1440_,53.2µm
net1806,53.16µm
net2583,53.16µm
net1440,53.12µm
net1968,53.12µm
_0795_,53.06µm
net2697,53.06µm
net2019,53.03µm
net1941,52.94µm
net1543,52.94µm
net1774,52.76µm
net1139,52.72µm
_1365_,52.6µm
net1277,52.58µm
net2537,52.58µm
_3194_,52.54µm
_0965_,52.52µm
u_wm0.u_dm.data_mem\[0\]\[13\],52.48µm
U_rf0.rd\[7\]\[12\],52.4µm
net122,52.4µm
_1182_,52.22µm
net1377,52.1µm
net1553,52.08µm
_1723_,52.02µm
pc_plus4\[22\],51.98µm
net1681,51.95µm
_1381_,51.94µm
_0051_,51.85µm
_3259_,51.82µm
_0863_,51.8µm
pc_plus4\[25\],51.74µm
u_wm0.u_dm.data_mem\[13\]\[13\],51.66µm
_0824_,51.62µm
net1141,51.61µm
_1755_,51.6µm
_3155_,51.58µm
net1622,51.47µm
net1560,51.34µm
net1762,51.32µm
_1426_,51.26µm
net2722,51.25µm
net2011,51.24µm
net1107,51.22µm
_1258_,51.17µm
U_rf0.rd\[6\]\[18\],51.16µm
_1760_,51.05µm
net2757,51.04µm
_1505_,50.88µm
net1110,50.84µm
_3209_,50.7µm
net2029,50.55µm
U_rf0.rd\[5\]\[21\],50.54µm
U_rf0.rd\[1\]\[26\],50.52µm
net1743,50.465µm
_1945_,50.36µm
_1588_,50.28µm
net1498,50.24µm
U_rf0.rd\[3\]\[15\],50.1µm
_1832_,50.02µm
net2036,50.01µm
net1500,49.98µm
_1212_,49.94µm
net1725,49.93µm
_1277_,49.84µm
net1898,49.82µm
U_rf0.rd\[4\]\[11\],49.7µm
net1804,49.68µm
net2085,49.62µm
net1706,49.58µm
_1309_,49.54µm
net2494,49.46µm
_1970_,49.42µm
_2930_,49.42µm
net2084,49.14µm
_1347_,49µm
net1494,48.98µm
U_rf0.rd\[6\]\[20\],48.94µm
net1679,48.92µm
net1764,48.835µm
net1402,48.74µm
_0811_,48.7µm
_2694_,48.7µm
u_wm0.u_dm.data_mem\[1\]\[12\],48.7µm
net2504,48.7µm
net1970,48.535µm
_1658_,48.46µm
net1125,48.42µm
_2804_,48.41µm
net1443,48.4µm
_1580_,48.38µm
U_rf0.rd\[5\]\[0\],48.24µm
_1547_,48.24µm
net1651,48.17µm
net2000,48.16µm
net1724,47.99µm
net1720,47.98µm
U_rf0.rd\[5\]\[4\],47.94µm
_3165_,47.85µm
_1969_,47.82µm
net1998,47.76µm
_0800_,47.68µm
_1955_,47.68µm
net2163,47.66µm
net2667,47.66µm
net1109,47.52µm
net1547,47.48µm
net1304,47.42µm
net3,47.42µm
_1854_,47.38µm
net1546,47.36µm
_0842_,47.32µm
U_rf0.rd\[3\]\[14\],47.28µm
net1383,47.275µm
U_rf0.rd\[1\]\[1\],47.18µm
U_rf0.rd\[5\]\[15\],47.18µm
_1975_,47.145µm
net1740,47.095µm
_2984_,47.04µm
_0999_,46.94µm
net1799,46.92µm
net2150,46.9µm
_0904_,46.82µm
net1741,46.815µm
_1386_,46.8µm
U_rf0.rd\[5\]\[28\],46.76µm
_2892_,46.66µm
net2013,46.65µm
net1376,46.645µm
_2882_,46.56µm
net2054,46.55µm
net1979,46.46µm
net1964,46.4µm
u_wm0.u_dm.data_mem\[12\]\[12\],46.39µm
net1405,46.36µm
net2030,46.33µm
net1801,46.24µm
result[1],46.22µm
net2664,46.22µm
u_wm0.u_dm.data_mem\[5\]\[26\],46.1µm
net1325,46.04µm
U_rf0.rd\[4\]\[9\],46.02µm
_2628_,46.02µm
_3132_,46.02µm
_2779_,45.92µm
_3179_,45.8µm
_0055_,45.65µm
U_rf0.rd\[2\]\[14\],45.42µm
net1134,45.38µm
net1223,45.38µm
net1667,45.36µm
net1504,45.33µm
net2015,45.23µm
net1598,45.18µm
net1880,45.12µm
instruct_en,44.93µm
_1144_,44.9µm
_1731_,44.88µm
u_wm0.u_dm.data_mem\[13\]\[10\],44.875µm
net2107,44.86µm
_0790_,44.84µm
u_wm0.u_dm.data_mem\[1\]\[29\],44.6µm
net2994,44.58µm
u_wm0.u_dm.data_mem\[10\]\[10\],44.52µm
net1108,44.5µm
net2014,44.49µm
_1870_,44.48µm
_1062_,44.46µm
net1800,44.45µm
_1082_,44.42µm
_2568_,44.38µm
_0829_,44.36µm
U_rf0.rd\[4\]\[4\],44.34µm
net2049,44.33µm
_1831_,44.24µm
net1939,44.2µm
_1620_,44.19µm
net1631,44.14µm
net1882,44.1µm
u_wm0.u_dm.data_mem\[10\]\[12\],44.1µm
u_wm0.u_dm.data_mem\[3\]\[16\],44.1µm
net1999,44.08µm
net1374,44.02µm
_0874_,44µm
_2715_,43.91µm
U_rf0.rd\[1\]\[23\],43.9µm
_0812_,43.88µm
net1416,43.845µm
_1225_,43.84µm
net1899,43.76µm
net1348,43.74µm
net2901,43.74µm
net1754,43.735µm
_0807_,43.72µm
_1790_,43.7µm
_1115_,43.68µm
U_rf0.rd\[1\]\[27\],43.64µm
U_rf0.rd\[1\]\[20\],43.56µm
net2946,43.56µm
_1017_,43.54µm
net1916,43.5µm
pc_plus4\[31\],43.5µm
_1069_,43.4µm
U_rf0.rd\[10\]\[2\],43.2µm
U_rf0.rd\[3\]\[18\],43.2µm
net2377,43.2µm
u_wm0.u_dm.data_mem\[9\]\[29\],43.18µm
net1874,43.16µm
_0837_,43.1µm
net1533,43.06µm
net2386,43.04µm
net1895,43.02µm
net2057,42.97µm
_1251_,42.92µm
_1099_,42.88µm
_0895_,42.76µm
net2942,42.76µm
_1098_,42.58µm
net1116,42.56µm
_2898_,42.56µm
_2896_,42.51µm
_1746_,42.5µm
_1664_,42.45µm
_2904_,42.26µm
_1351_,42.24µm
net1657,42.18µm
u_wm0.u_dm.data_mem\[14\]\[9\],42.08µm
_1593_,42µm
net2983,41.94µm
net1604,41.92µm
net2951,41.9µm
_1693_,41.88µm
_2826_,41.88µm
u_wm0.u_dm.data_mem\[0\]\[25\],41.82µm
_2797_,41.76µm
net1944,41.74µm
net2401,41.72µm
net1721,41.64µm
_1356_,41.58µm
U_rf0.rd\[1\]\[5\],41.52µm
u_wm0.u_dm.data_mem\[1\]\[26\],41.52µm
_1027_,41.5µm
_0777_,41.4µm
_1815_,41.26µm
_2785_,41.26µm
net1578,41.24µm
u_wm0.u_dm.data_mem\[6\]\[26\],41.2µm
net1994,41.17µm
_2563_,41µm
_2626_,41µm
_1151_,40.96µm
_1071_,40.78µm
net1482,40.77µm
net2487,40.74µm
U_rf0.rd\[2\]\[1\],40.72µm
_2796_,40.67µm
_0551_,40.635µm
net2184,40.63µm
_0886_,40.58µm
net2763,40.5µm
_0048_,40.46µm
U_rf0.rd\[3\]\[3\],40.44µm
u_wm0.u_dm.data_mem\[10\]\[25\],40.4µm
_1511_,40.3µm
_3051_,40.165µm
net3025,39.98µm
net3017,39.96µm
_1317_,39.92µm
net1571,39.86µm
_3079_,39.86µm
net1554,39.84µm
net1406,39.825µm
net1980,39.8µm
U_rf0.rd\[1\]\[2\],39.7µm
net2134,39.7µm
_0907_,39.68µm
_2737_,39.64µm
U_rf0.rd\[1\]\[19\],39.61µm
_3222_,39.44µm
_1315_,39.43µm
_1727_,39.4µm
net1248,39.28µm
_0828_,39.26µm
net1381,39.255µm
_1325_,39.24µm
net2063,39.23µm
net1124,39.21µm
U_rf0.rd\[10\]\[3\],39.2µm
u_wm0.u_dm.data_mem\[11\]\[11\],39.16µm
U_rf0.rd\[2\]\[27\],39.12µm
net1123,39.12µm
u_wm0.u_dm.data_mem\[0\]\[26\],39.11µm
_1543_,39.06µm
U_rf0.rd\[4\]\[10\],38.92µm
net1959,38.88µm
net1128,38.86µm
net1758,38.82µm
U_rf0.rd\[6\]\[5\],38.78µm
net1865,38.75µm
_1683_,38.74µm
net1468,38.7µm
_0906_,38.7µm
net2028,38.69µm
U_rf0.rd\[1\]\[6\],38.66µm
_1493_,38.66µm
_1064_,38.64µm
_1236_,38.64µm
_0878_,38.6µm
_1141_,38.56µm
_0836_,38.48µm
net2162,38.46µm
net1400,38.44µm
result[2],38.36µm
U_rf0.rd\[6\]\[15\],38.28µm
net1912,38.25µm
_3026_,38.24µm
U_rf0.rd\[2\]\[26\],38.2µm
_0933_,38.1µm
net1886,38.08µm
net1897,38.06µm
net1520,37.94µm
_1737_,37.92µm
_1587_,37.88µm
net2178,37.82µm
net1444,37.72µm
net1853,37.64µm
_1321_,37.59µm
_3011_,37.42µm
net1962,37.36µm
net1112,37.34µm
_1528_,37.32µm
net2666,37.32µm
_2665_,37.24µm
U_rf0.rd\[4\]\[1\],37.22µm
net1826,37.2µm
_0850_,37.2µm
_2634_,37.175µm
_1745_,37.12µm
_0864_,37.1µm
U_rf0.rd\[10\]\[26\],37.06µm
_1067_,37µm
_1348_,36.98µm
_3335_,36.88µm
U_rf0.rd\[4\]\[3\],36.86µm
U_rf0.rd\[5\]\[16\],36.74µm
_1763_,36.74µm
pc_plus4\[13\],36.74µm
u_wm0.u_dm.data_mem\[9\]\[25\],36.72µm
net2037,36.71µm
net2678,36.68µm
net1356,36.635µm
net2189,36.62µm
net1081,36.6µm
net1301,36.58µm
net1577,36.56µm
_2872_,36.56µm
u_wm0.u_dm.data_mem\[15\]\[9\],36.56µm
U_rf0.rd\[5\]\[7\],36.54µm
net2023,36.49µm
pc\[3\],36.48µm
net2631,36.48µm
_2756_,36.36µm
_0873_,36.34µm
_1056_,36.32µm
net3026,36.32µm
_2875_,36.28µm
u_wm0.u_dm.data_mem\[10\]\[19\],36.26µm
net2604,36.22µm
U_rf0.rd\[1\]\[4\],36.185µm
_2629_,36.18µm
_0875_,36.14µm
net2790,36.1µm
_2712_,36.04µm
net1957,36.04µm
_1106_,36.02µm
_1009_,35.94µm
net3043,35.94µm
u_wm0.u_dm.data_mem\[11\]\[0\],35.93µm
_1502_,35.84µm
u_wm0.u_dm.data_mem\[10\]\[17\],35.84µm
net2051,35.81µm
_2851_,35.8µm
u_wm0.u_dm.data_mem\[4\]\[20\],35.77µm
U_rf0.rd\[4\]\[24\],35.74µm
U_rf0.rd\[4\]\[6\],35.72µm
_1594_,35.72µm
_2936_,35.71µm
u_wm0.u_dm.data_mem\[7\]\[6\],35.68µm
net1936,35.62µm
u_wm0.u_dm.data_mem\[5\]\[17\],35.55µm
_2967_,35.54µm
net2068,35.41µm
_0813_,35.4µm
net1885,35.395µm
_2867_,35.34µm
net3006,35.28µm
_1650_,35.16µm
_1748_,35.14µm
U_rf0.rd\[4\]\[8\],35.1µm
_1100_,35.1µm
_1486_,35.05µm
_1496_,35.02µm
_1399_,35.01µm
net1910,34.98µm
_3147_,34.96µm
u_wm0.u_dm.data_mem\[13\]\[9\],34.82µm
_1072_,34.8µm
net1728,34.78µm
_2732_,34.78µm
result[26],34.71µm
net2122,34.66µm
net1493,34.61µm
U_rf0.rd\[6\]\[24\],34.6µm
net1650,34.58µm
net1497,34.58µm
net1965,34.54µm
net2871,34.54µm
_0876_,34.52µm
_1313_,34.49µm
_2696_,34.425µm
_1181_,34.4µm
U_rf0.rd\[10\]\[24\],34.32µm
net1548,34.28µm
net1373,34.26µm
U_rf0.rd\[1\]\[22\],34.225µm
U_rf0.rd\[5\]\[3\],34.18µm
net3001,34.18µm
U_rf0.rd\[10\]\[14\],34.16µm
net1576,34.14µm
net1833,34.12µm
net3005,34.12µm
net2016,34.1µm
_1747_,34.04µm
net1557,34.04µm
u_wm0.u_dm.data_mem\[6\]\[10\],33.96µm
_1705_,33.92µm
net1587,33.92µm
u_wm0.u_dm.data_mem\[5\]\[21\],33.9µm
net2694,33.88µm
net2039,33.86µm
net1176,33.72µm
_2713_,33.62µm
u_wm0.u_dm.data_mem\[4\]\[29\],33.62µm
net2783,33.62µm
_0912_,33.56µm
U_rf0.rd\[6\]\[17\],33.54µm
U_rf0.rd\[10\]\[31\],33.52µm
U_rf0.rd\[5\]\[1\],33.5µm
_1539_,33.5µm
u_wm0.u_dm.data_mem\[8\]\[12\],33.5µm
U_rf0.rd\[6\]\[22\],33.46µm
net1699,33.455µm
net1900,33.42µm
net1738,33.4µm
net1654,33.34µm
_0966_,33.3µm
_2911_,33.3µm
u_wm0.u_dm.data_mem\[6\]\[13\],33.28µm
_0799_,33.26µm
_1038_,33.24µm
U_rf0.rd\[1\]\[24\],33.235µm
_0920_,33.2µm
_0801_,33.16µm
_2750_,33.16µm
net2040,33.11µm
net1791,33.06µm
u_wm0.u_dm.data_mem\[5\]\[19\],33.02µm
_3195_,33µm
net2800,33µm
_2589_,32.985µm
u_wm0.u_dm.data_mem\[14\]\[26\],32.98µm
_1334_,32.92µm
net1904,32.88µm
net2038,32.81µm
_1530_,32.8µm
_3122_,32.76µm
net2471,32.68µm
_1791_,32.66µm
u_wm0.u_dm.data_mem\[9\]\[12\],32.66µm
net1831,32.64µm
_1425_,32.64µm
net1477,32.58µm
_1837_,32.58µm
U_rf0.rd\[2\]\[3\],32.56µm
_1037_,32.46µm
net2734,32.42µm
_2918_,32.34µm
U_rf0.rd\[6\]\[21\],32.28µm
_1435_,32.28µm
net1579,32.22µm
_0789_,32.22µm
u_wm0.u_dm.data_mem\[9\]\[26\],32.16µm
_2824_,32.14µm
net1523,32.12µm
_1278_,32.12µm
_0054_,32µm
_1327_,31.98µm
U_rf0.rd\[2\]\[29\],31.96µm
_2845_,31.92µm
net2992,31.9µm
_2627_,31.88µm
u_wm0.u_dm.data_mem\[8\]\[31\],31.88µm
U_rf0.rd\[4\]\[0\],31.86µm
_3015_,31.84µm
U_rf0.rd\[2\]\[15\],31.82µm
net1677,31.82µm
net2645,31.74µm
u_wm0.u_dm.data_mem\[1\]\[22\],31.7µm
net1595,31.66µm
u_wm0.u_dm.data_mem\[0\]\[9\],31.62µm
_1342_,31.6µm
U_rf0.rd\[4\]\[27\],31.58µm
_1715_,31.56µm
net1919,31.54µm
u_wm0.u_dm.data_mem\[12\]\[16\],31.54µm
_0877_,31.48µm
_0938_,31.34µm
net1626,31.34µm
net2087,31.3µm
U_rf0.rd\[1\]\[25\],31.27µm
_2888_,31.26µm
_1068_,31.2µm
net1378,31.19µm
_1716_,31.09µm
net1556,31.07µm
net2056,31.05µm
_1339_,30.98µm
u_wm0.u_dm.data_mem\[7\]\[5\],30.98µm
_2767_,30.94µm
net2510,30.94µm
net1669,30.92µm
_0797_,30.88µm
U_rf0.rd\[1\]\[12\],30.85µm
_0794_,30.84µm
net1326,30.84µm
net1296,30.82µm
_1329_,30.8µm
net2082,30.78µm
net1096,30.76µm
_2771_,30.76µm
_2615_,30.74µm
pc_plus4\[20\],30.74µm
_1577_,30.7µm
net1371,30.58µm
_0827_,30.58µm
_1261_,30.56µm
net2771,30.55µm
U_rf0.rd\[10\]\[25\],30.54µm
net1360,30.53µm
net2020,30.44µm
net1088,30.42µm
_1584_,30.4µm
net1942,30.34µm
_1443_,30.33µm
_2642_,30.32µm
net2780,30.32µm
u_wm0.u_dm.data_mem\[5\]\[6\],30.3µm
_1937_,30.28µm
_2834_,30.28µm
net1572,30.25µm
_0940_,30.2µm
_1290_,30.2µm
net2114,30.18µm
_1174_,30.18µm
net1966,30.18µm
_1124_,30.16µm
_1303_,30.16µm
_3004_,30.16µm
u_wm0.u_dm.data_mem\[15\]\[11\],30.04µm
net3030,30µm
U_rf0.rd\[4\]\[21\],29.96µm
u_wm0.u_dm.data_mem\[8\]\[6\],29.94µm
u_wm0.u_dm.data_mem\[4\]\[5\],29.92µm
net2055,29.91µm
U_rf0.rd\[10\]\[20\],29.9µm
net1854,29.86µm
net2964,29.86µm
_1581_,29.82µm
net1986,29.82µm
net2868,29.82µm
_1578_,29.8µm
_1512_,29.74µm
net1570,29.7µm
_1466_,29.7µm
_2585_,29.66µm
_2850_,29.66µm
_1171_,29.62µm
net1596,29.6µm
net1220,29.58µm
U_rf0.rd\[10\]\[18\],29.54µm
net1372,29.535µm
net2460,29.52µm
u_wm0.u_dm.data_mem\[15\]\[16\],29.5µm
net2021,29.49µm
_1546_,29.42µm
_3144_,29.42µm
_0045_,29.4µm
_0840_,29.4µm
_2658_,29.4µm
_2870_,29.24µm
_1674_,29.22µm
_1729_,29.22µm
u_wm0.u_dm.data_mem\[5\]\[13\],29.22µm
_2755_,29.2µm
_1662_,29.16µm
_0861_,29.06µm
_1077_,29µm
_1873_,28.98µm
net3027,28.95µm
_1557_,28.94µm
net1531,28.92µm
_3197_,28.92µm
u_wm0.u_dm.data_mem\[4\]\[17\],28.8µm
U_rf0.rd\[10\]\[19\],28.78µm
net2053,28.78µm
u_wm0.u_dm.data_mem\[4\]\[3\],28.74µm
u_wm0.u_dm.data_mem\[9\]\[17\],28.74µm
_1641_,28.72µm
net1430,28.66µm
u_wm0.u_dm.data_mem\[8\]\[19\],28.625µm
net1836,28.6µm
u_wm0.u_dm.data_mem\[4\]\[6\],28.6µm
U_rf0.rd\[3\]\[9\],28.58µm
net2934,28.54µm
_1368_,28.52µm
_0775_,28.5µm
_0884_,28.5µm
net1745,28.485µm
U_rf0.rd\[6\]\[6\],28.48µm
_0924_,28.44µm
u_wm0.u_dm.data_mem\[11\]\[17\],28.44µm
net3024,28.42µm
_1265_,28.4µm
_2577_,28.4µm
_0046_,28.36µm
_1134_,28.34µm
_2649_,28.24µm
_2637_,28.22µm
_1345_,28.2µm
_1274_,28.1µm
_3128_,28.1µm
net2847,28.02µm
_1257_,28µm
_2786_,27.96µm
_2968_,27.96µm
_2810_,27.94µm
u_wm0.u_dm.data_mem\[0\]\[11\],27.94µm
_2854_,27.92µm
_2636_,27.9µm
_3141_,27.88µm
_0818_,27.86µm
net1452,27.82µm
_0826_,27.82µm
_1423_,27.82µm
_2789_,27.82µm
_0043_,27.8µm
U_rf0.rd\[1\]\[29\],27.78µm
_1299_,27.72µm
_0925_,27.7µm
net1365,27.66µm
_1065_,27.66µm
U_rf0.rd\[2\]\[16\],27.65µm
u_wm0.u_dm.data_mem\[5\]\[16\],27.62µm
_1639_,27.6µm
_3021_,27.6µm
pc_plus4\[30\],27.5µm
u_wm0.u_dm.data_mem\[13\]\[26\],27.48µm
pc\[5\],27.44µm
_0887_,27.42µm
_1902_,27.42µm
u_wm0.u_dm.data_mem\[15\]\[10\],27.42µm
u_wm0.u_dm.data_mem\[7\]\[26\],27.42µm
_0820_,27.38µm
result[3],27.32µm
U_rf0.rd\[10\]\[28\],27.28µm
_0058_,27.28µm
_2624_,27.28µm
_2917_,27.28µm
pc_plus4\[19\],27.28µm
u_wm0.u_dm.data_mem\[4\]\[10\],27.24µm
_2733_,27.22µm
U_rf0.rd\[10\]\[27\],27.2µm
_1404_,27.2µm
net2161,27.1µm
u_wm0.u_dm.data_mem\[1\]\[10\],27.1µm
_0821_,27.08µm
_0930_,27.08µm
net2506,27.08µm
_1139_,27.02µm
_3023_,26.98µm
net2738,26.96µm
U_rf0.rd\[10\]\[0\],26.86µm
_0936_,26.86µm
_1081_,26.86µm
u_wm0.u_dm.data_mem\[9\]\[11\],26.8µm
U_rf0.rd\[10\]\[29\],26.78µm
net3004,26.7µm
u_wm0.u_dm.data_mem\[5\]\[20\],26.66µm
net2181,26.64µm
_1508_,26.64µm
net1085,26.6µm
u_wm0.u_dm.data_mem\[12\]\[9\],26.52µm
net2022,26.52µm
net1714,26.46µm
net2001,26.44µm
net2933,26.44µm
net2363,26.4µm
_0892_,26.4µm
net2808,26.4µm
net1744,26.38µm
_0919_,26.3µm
_3048_,26.1µm
_2971_,26.08µm
net1593,26.06µm
_1286_,26.04µm
u_wm0.u_dm.data_mem\[12\]\[11\],25.98µm
net3019,25.92µm
net2052,25.9µm
_1583_,25.9µm
_1191_,25.88µm
U_rf0.rd\[5\]\[9\],25.86µm
net2689,25.86µm
pc_plus4\[24\],25.84µm
_1156_,25.82µm
_1724_,25.82µm
net1147,25.82µm
net1700,25.74µm
net2680,25.74µm
net2018,25.72µm
net119,25.72µm
_0868_,25.68µm
_3145_,25.68µm
_2635_,25.66µm
_1104_,25.64µm
_2861_,25.64µm
net1733,25.6µm
u_wm0.u_dm.data_mem\[9\]\[19\],25.59µm
net1747,25.56µm
net2647,25.52µm
_1751_,25.5µm
_1088_,25.48µm
_1467_,25.44µm
net2753,25.42µm
net1925,25.4µm
_0793_,25.38µm
net2789,25.38µm
net2370,25.36µm
u_wm0.u_dm.data_mem\[0\]\[22\],25.36µm
_3143_,25.34µm
_1419_,25.28µm
_2630_,25.22µm
net2553,25.22µm
U_rf0.rd\[2\]\[17\],25.2µm
net1490,25.2µm
net1521,25.2µm
U_rf0.rd\[1\]\[8\],25.18µm
_2991_,25.18µm
_2639_,25.14µm
u_wm0.u_dm.data_mem\[9\]\[21\],25.14µm
net2180,25.1µm
u_wm0.u_dm.data_mem\[8\]\[22\],25.06µm
net2727,25µm
net1323,24.96µm
