Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_101_57,VGND,li1,31.9700,288.3200,0.000087
FILLER_101_38,VGND,li1,23.2300,288.3200,0.000078
FILLER_101_20,VGND,li1,14.9500,288.3200,0.000048
FILLER_100_611,VGND,li1,286.8100,282.8800,0.000033
FILLER_100_608,VGND,li1,285.8900,282.8800,0.000033
FILLER_100_578,VGND,li1,271.6300,282.8800,0.000060
FILLER_100_565,VGND,li1,265.8800,282.8800,0.000062
FILLER_100_562,VGND,li1,264.7300,282.8800,0.000062
FILLER_100_522,VGND,li1,245.8700,282.8800,0.000099
FILLER_100_436,VGND,li1,206.7700,282.8800,0.000109
FILLER_100_424,VGND,li1,201.2500,282.8800,0.000091
FILLER_100_421,VGND,li1,199.8700,282.8800,0.000084
FILLER_100_411,VGND,li1,194.8100,282.8800,0.000062
FILLER_100_399,VGND,li1,189.7500,282.8800,0.000069
FILLER_100_380,VGND,li1,180.7800,282.8800,0.000073
FILLER_100_371,VGND,li1,176.4100,282.8800,0.000065
FILLER_100_368,VGND,li1,175.4900,282.8800,0.000065
FILLER_100_365,VGND,li1,174.1100,282.8800,0.000061
FILLER_100_354,VGND,li1,168.5900,282.8800,0.000052
FILLER_100_351,VGND,li1,167.6700,282.8800,0.000047
FILLER_100_348,VGND,li1,166.2900,282.8800,0.000047
FILLER_100_337,VGND,li1,161.0000,282.8800,0.000057
FILLER_100_334,VGND,li1,159.8500,282.8800,0.000057
FILLER_100_289,VGND,li1,138.9200,282.8800,0.000072
FILLER_100_266,VGND,li1,128.3400,282.8800,0.000069
FILLER_100_241,VGND,li1,117.0700,282.8800,0.000080
FILLER_100_238,VGND,li1,115.6900,282.8800,0.000080
FILLER_100_200,VGND,li1,98.2100,282.8800,0.000064
FILLER_100_197,VGND,li1,96.8300,282.8800,0.000068
FILLER_100_187,VGND,li1,91.7700,282.8800,0.000072
FILLER_100_169,VGND,li1,83.4900,282.8800,0.000071
FILLER_100_150,VGND,li1,74.9800,282.8800,0.000066
FILLER_100_85,VGND,li1,45.3100,282.8800,0.000094
FILLER_100_73,VGND,li1,39.5600,282.8800,0.000102
FILLER_100_62,VGND,li1,34.5000,282.8800,0.000106
FILLER_100_19,VGND,li1,14.4900,282.8800,0.000049
FILLER_100_9,VGND,li1,9.8900,282.8800,0.000050
FILLER_100_6,VGND,li1,8.9700,282.8800,0.000050
FILLER_100_3,VGND,li1,7.5900,282.8800,0.000050
FILLER_99_611,VGND,li1,286.8100,282.8800,0.000033
FILLER_99_608,VGND,li1,285.8900,282.8800,0.000033
FILLER_99_587,VGND,li1,275.7700,282.8800,0.000055
FILLER_99_584,VGND,li1,274.8500,282.8800,0.000058
FILLER_99_581,VGND,li1,273.4700,282.8800,0.000058
FILLER_99_561,VGND,li1,264.2700,282.8800,0.000062
FILLER_99_542,VGND,li1,255.0700,282.8800,0.000059
FILLER_99_539,VGND,li1,254.1500,282.8800,0.000057
FILLER_99_494,VGND,li1,232.9900,282.8800,0.000098
FILLER_99_466,VGND,li1,220.5700,282.8800,0.000071
FILLER_99_445,VGND,li1,210.9100,282.8800,0.000103
FILLER_99_442,VGND,li1,209.5300,282.8800,0.000103
FILLER_99_393,VGND,li1,186.7600,282.8800,0.000074
FILLER_99_389,VGND,li1,185.1500,282.8800,0.000074
FILLER_99_354,VGND,li1,168.5900,282.8800,0.000052
FILLER_99_333,VGND,li1,159.3900,282.8800,0.000057
FILLER_99_330,VGND,li1,158.0100,282.8800,0.000062
FILLER_99_306,VGND,li1,146.9700,282.8800,0.000089
FILLER_99_279,VGND,li1,134.0900,282.8800,0.000056
FILLER_99_259,VGND,li1,125.3500,282.8800,0.000073
FILLER_99_213,VGND,li1,104.1900,282.8800,0.000051
FILLER_99_185,VGND,li1,91.3100,282.8800,0.000072
FILLER_99_169,VGND,li1,83.9500,282.8800,0.000071
FILLER_99_166,VGND,li1,82.3400,282.8800,0.000071
FILLER_99_130,VGND,li1,66.0100,282.8800,0.000110
FILLER_99_57,VGND,li1,32.2000,282.8800,0.000103
FILLER_99_45,VGND,li1,26.9100,282.8800,0.000096
FILLER_99_35,VGND,li1,21.8500,282.8800,0.000081
FILLER_99_19,VGND,li1,14.4900,282.8800,0.000049
FILLER_99_16,VGND,li1,13.5700,282.8800,0.000049
FILLER_99_6,VGND,li1,8.5100,282.8800,0.000050
FILLER_99_3,VGND,li1,7.5900,282.8800,0.000050
FILLER_98_609,VGND,li1,286.3500,277.4400,0.000074
FILLER_98_606,VGND,li1,284.9700,277.4400,0.000074
FILLER_98_530,VGND,li1,249.7800,277.4400,0.000168
FILLER_98_504,VGND,li1,237.5900,277.4400,0.000182
FILLER_98_501,VGND,li1,236.6700,277.4400,0.000169
FILLER_98_466,VGND,li1,220.1100,277.4400,0.000108
FILLER_98_417,VGND,li1,198.0300,277.4400,0.000110
FILLER_98_393,VGND,li1,186.9900,277.4400,0.000122
FILLER_98_365,VGND,li1,174.1100,277.4400,0.000126
FILLER_98_362,VGND,li1,172.5000,277.4400,0.000126
FILLER_98_334,VGND,li1,159.6200,277.4400,0.000120
FILLER_98_293,VGND,li1,140.9900,277.4400,0.000150
FILLER_98_275,VGND,li1,132.2500,277.4400,0.000106
FILLER_98_253,VGND,li1,122.1300,277.4400,0.000117
FILLER_98_250,VGND,li1,120.9800,277.4400,0.000117
FILLER_98_210,VGND,li1,102.8100,277.4400,0.000076
FILLER_98_168,VGND,li1,83.4900,277.4400,0.000075
FILLER_98_141,VGND,li1,70.8400,277.4400,0.000058
FILLER_98_125,VGND,li1,63.4800,277.4400,0.000072
FILLER_98_98,VGND,li1,51.0600,277.4400,0.000087
FILLER_98_49,VGND,li1,28.5200,277.4400,0.000089
FILLER_98_29,VGND,li1,19.5500,277.4400,0.000062
FILLER_97_594,VGND,li1,278.9900,277.4400,0.000115
FILLER_97_591,VGND,li1,278.0700,277.4400,0.000115
FILLER_97_588,VGND,li1,276.6900,277.4400,0.000130
FILLER_97_558,VGND,li1,262.6600,277.4400,0.000184
FILLER_97_517,VGND,li1,243.5700,277.4400,0.000194
FILLER_97_514,VGND,li1,242.6500,277.4400,0.000194
FILLER_97_501,VGND,li1,236.6700,277.4400,0.000169
FILLER_97_498,VGND,li1,235.2900,277.4400,0.000169
FILLER_97_488,VGND,li1,230.2300,277.4400,0.000133
FILLER_97_461,VGND,li1,218.0400,277.4400,0.000114
FILLER_97_449,VGND,li1,212.7500,277.4400,0.000131
FILLER_97_446,VGND,li1,211.1400,277.4400,0.000131
FILLER_97_427,VGND,li1,202.4000,277.4400,0.000126
FILLER_97_401,VGND,li1,190.2100,277.4400,0.000107
FILLER_97_391,VGND,li1,185.6100,277.4400,0.000133
FILLER_97_340,VGND,li1,162.1500,277.4400,0.000097
FILLER_97_337,VGND,li1,161.2300,277.4400,0.000107
FILLER_97_333,VGND,li1,159.3900,277.4400,0.000120
FILLER_97_330,VGND,li1,158.0100,277.4400,0.000120
FILLER_97_301,VGND,li1,144.6700,277.4400,0.000169
FILLER_97_195,VGND,li1,95.4500,277.4400,0.000094
FILLER_97_169,VGND,li1,83.4900,277.4400,0.000075
FILLER_97_148,VGND,li1,74.2900,277.4400,0.000048
FILLER_97_113,VGND,li1,57.7300,277.4400,0.000083
FILLER_97_92,VGND,li1,48.5300,277.4400,0.000085
FILLER_97_57,VGND,li1,31.9700,277.4400,0.000095
FILLER_97_29,VGND,li1,19.3200,277.4400,0.000062
FILLER_96_594,VGND,li1,278.9900,272.0000,0.000056
FILLER_96_591,VGND,li1,278.0700,272.0000,0.000056
FILLER_96_536,VGND,li1,252.3100,272.0000,0.000064
FILLER_96_533,VGND,li1,251.3900,272.0000,0.000074
FILLER_96_531,VGND,li1,250.0100,272.0000,0.000074
FILLER_96_519,VGND,li1,244.9500,272.0000,0.000097
FILLER_96_474,VGND,li1,224.0200,272.0000,0.000074
FILLER_96_424,VGND,li1,200.7900,272.0000,0.000080
FILLER_96_421,VGND,li1,199.8700,272.0000,0.000076
FILLER_96_418,VGND,li1,198.2600,272.0000,0.000076
FILLER_96_409,VGND,li1,194.3500,272.0000,0.000066
FILLER_96_406,VGND,li1,192.9700,272.0000,0.000066
FILLER_96_371,VGND,li1,176.4100,272.0000,0.000127
FILLER_96_368,VGND,li1,175.4900,272.0000,0.000126
FILLER_96_365,VGND,li1,174.1100,272.0000,0.000124
FILLER_96_363,VGND,li1,172.7300,272.0000,0.000124
FILLER_96_349,VGND,li1,166.2900,272.0000,0.000103
FILLER_96_337,VGND,li1,161.2300,272.0000,0.000097
FILLER_96_334,VGND,li1,159.8500,272.0000,0.000097
FILLER_96_290,VGND,li1,139.1500,272.0000,0.000122
FILLER_96_253,VGND,li1,122.3600,272.0000,0.000226
FILLER_96_221,VGND,li1,107.4100,272.0000,0.000177
FILLER_96_182,VGND,li1,89.4700,272.0000,0.000192
FILLER_96_177,VGND,li1,87.1700,272.0000,0.000183
FILLER_96_167,VGND,li1,82.8000,272.0000,0.000154
FILLER_96_141,VGND,li1,70.6100,272.0000,0.000094
FILLER_96_134,VGND,li1,67.6200,272.0000,0.000100
FILLER_96_101,VGND,li1,52.6700,272.0000,0.000094
FILLER_96_85,VGND,li1,45.3100,272.0000,0.000074
FILLER_96_72,VGND,li1,39.3300,272.0000,0.000104
FILLER_96_62,VGND,li1,34.2700,272.0000,0.000122
FILLER_96_27,VGND,li1,18.1700,272.0000,0.000080
FILLER_96_9,VGND,li1,9.8900,272.0000,0.000060
FILLER_96_6,VGND,li1,8.9700,272.0000,0.000060
FILLER_96_3,VGND,li1,7.5900,272.0000,0.000060
FILLER_95_611,VGND,li1,286.8100,272.0000,0.000034
FILLER_95_608,VGND,li1,285.8900,272.0000,0.000034
FILLER_95_605,VGND,li1,284.5100,272.0000,0.000034
FILLER_95_584,VGND,li1,274.3900,272.0000,0.000064
FILLER_95_581,VGND,li1,273.4700,272.0000,0.000065
