Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_101_149,VPWR,li1,74.2900,285.6000,1.799933
FILLER_101_129,VPWR,li1,65.5500,285.6000,1.799904
FILLER_101_113,VPWR,li1,58.1900,285.6000,1.799860
FILLER_101_57,VPWR,li1,31.9700,285.6000,1.799883
FILLER_101_38,VPWR,li1,23.2300,285.6000,1.799877
FILLER_101_20,VPWR,li1,14.9500,285.6000,1.799908
FILLER_100_611,VPWR,li1,286.8100,285.6000,1.799965
FILLER_100_608,VPWR,li1,285.8900,285.6000,1.799965
FILLER_100_578,VPWR,li1,271.6300,285.6000,1.799946
FILLER_100_565,VPWR,li1,265.8800,285.6000,1.799938
FILLER_100_562,VPWR,li1,264.7300,285.6000,1.799938
FILLER_100_522,VPWR,li1,245.8700,285.6000,1.799897
FILLER_100_436,VPWR,li1,206.7700,285.6000,1.799888
FILLER_100_424,VPWR,li1,201.2500,285.6000,1.799901
FILLER_100_421,VPWR,li1,199.8700,285.6000,1.799907
FILLER_100_411,VPWR,li1,194.8100,285.6000,1.799922
FILLER_100_399,VPWR,li1,189.7500,285.6000,1.799939
FILLER_100_380,VPWR,li1,180.7800,285.6000,1.799935
FILLER_100_371,VPWR,li1,176.4100,285.6000,1.799938
FILLER_100_368,VPWR,li1,175.4900,285.6000,1.799938
FILLER_100_365,VPWR,li1,174.1100,285.6000,1.799939
FILLER_100_354,VPWR,li1,168.5900,285.6000,1.799946
FILLER_100_351,VPWR,li1,167.6700,285.6000,1.799949
FILLER_100_348,VPWR,li1,166.2900,285.6000,1.799949
FILLER_100_337,VPWR,li1,161.0000,285.6000,1.799962
FILLER_100_334,VPWR,li1,159.8500,285.6000,1.799962
FILLER_100_289,VPWR,li1,138.9200,285.6000,1.799943
FILLER_100_266,VPWR,li1,128.3400,285.6000,1.799937
FILLER_100_241,VPWR,li1,117.0700,285.6000,1.799905
FILLER_100_238,VPWR,li1,115.6900,285.6000,1.799906
FILLER_100_200,VPWR,li1,98.2100,285.6000,1.799947
FILLER_100_197,VPWR,li1,96.8300,285.6000,1.799944
FILLER_100_187,VPWR,li1,91.7700,285.6000,1.799938
FILLER_100_169,VPWR,li1,83.4900,285.6000,1.799932
FILLER_100_150,VPWR,li1,74.9800,285.6000,1.799933
FILLER_100_85,VPWR,li1,45.3100,285.6000,1.799873
FILLER_100_73,VPWR,li1,39.5600,285.6000,1.799906
FILLER_100_62,VPWR,li1,34.5000,285.6000,1.799889
FILLER_100_19,VPWR,li1,14.4900,285.6000,1.799908
FILLER_100_9,VPWR,li1,9.8900,285.6000,1.799943
FILLER_100_6,VPWR,li1,8.9700,285.6000,1.799943
FILLER_100_3,VPWR,li1,7.5900,285.6000,1.799943
FILLER_99_611,VPWR,li1,286.8100,280.1600,1.799918
FILLER_99_608,VPWR,li1,285.8900,280.1600,1.799918
FILLER_99_587,VPWR,li1,275.7700,280.1600,1.799882
FILLER_99_584,VPWR,li1,274.8500,280.1600,1.799867
FILLER_99_581,VPWR,li1,273.4700,280.1600,1.799867
FILLER_99_561,VPWR,li1,264.2700,280.1600,1.799841
FILLER_99_542,VPWR,li1,255.0700,280.1600,1.799886
FILLER_99_539,VPWR,li1,254.1500,280.1600,1.799886
FILLER_99_494,VPWR,li1,232.9900,280.1600,1.799902
FILLER_99_466,VPWR,li1,220.5700,280.1600,1.799936
FILLER_99_445,VPWR,li1,210.9100,280.1600,1.799897
FILLER_99_442,VPWR,li1,209.5300,280.1600,1.799897
FILLER_99_393,VPWR,li1,186.7600,280.1600,1.799931
FILLER_99_389,VPWR,li1,185.1500,280.1600,1.799926
FILLER_99_354,VPWR,li1,168.5900,280.1600,1.799927
FILLER_99_333,VPWR,li1,159.3900,280.1600,1.799921
FILLER_99_330,VPWR,li1,158.0100,280.1600,1.799921
FILLER_99_306,VPWR,li1,146.9700,280.1600,1.799859
FILLER_99_279,VPWR,li1,134.0900,280.1600,1.799901
FILLER_99_259,VPWR,li1,125.3500,280.1600,1.799912
FILLER_99_213,VPWR,li1,104.1900,280.1600,1.799905
FILLER_99_185,VPWR,li1,91.3100,280.1600,1.799901
FILLER_99_169,VPWR,li1,83.9500,280.1600,1.799906
FILLER_99_166,VPWR,li1,82.3400,280.1600,1.799906
FILLER_99_130,VPWR,li1,66.0100,280.1600,1.799913
FILLER_99_57,VPWR,li1,32.2000,280.1600,1.799896
FILLER_99_45,VPWR,li1,26.9100,280.1600,1.799902
FILLER_99_35,VPWR,li1,21.8500,280.1600,1.799916
FILLER_99_19,VPWR,li1,14.4900,280.1600,1.799946
FILLER_99_16,VPWR,li1,13.5700,280.1600,1.799946
FILLER_99_6,VPWR,li1,8.5100,280.1600,1.799959
FILLER_99_3,VPWR,li1,7.5900,280.1600,1.799959
FILLER_98_609,VPWR,li1,286.3500,280.1600,1.799918
FILLER_98_606,VPWR,li1,284.9700,280.1600,1.799918
FILLER_98_530,VPWR,li1,249.7800,280.1600,1.799897
FILLER_98_504,VPWR,li1,237.5900,280.1600,1.799896
FILLER_98_501,VPWR,li1,236.6700,280.1600,1.799899
FILLER_98_466,VPWR,li1,220.1100,280.1600,1.799936
FILLER_98_417,VPWR,li1,198.0300,280.1600,1.799905
FILLER_98_393,VPWR,li1,186.9900,280.1600,1.799931
FILLER_98_365,VPWR,li1,174.1100,280.1600,1.799923
FILLER_98_362,VPWR,li1,172.5000,280.1600,1.799923
FILLER_98_334,VPWR,li1,159.6200,280.1600,1.799921
FILLER_98_293,VPWR,li1,140.9900,280.1600,1.799870
FILLER_98_275,VPWR,li1,132.2500,280.1600,1.799913
FILLER_98_253,VPWR,li1,122.1300,280.1600,1.799903
FILLER_98_250,VPWR,li1,120.9800,280.1600,1.799903
FILLER_98_210,VPWR,li1,102.8100,280.1600,1.799905
FILLER_98_168,VPWR,li1,83.4900,280.1600,1.799906
FILLER_98_141,VPWR,li1,70.8400,280.1600,1.799933
FILLER_98_125,VPWR,li1,63.4800,280.1600,1.799902
FILLER_98_98,VPWR,li1,51.0600,280.1600,1.799858
FILLER_98_49,VPWR,li1,28.5200,280.1600,1.799902
FILLER_98_29,VPWR,li1,19.5500,280.1600,1.799926
FILLER_97_594,VPWR,li1,278.9900,274.7200,1.799935
FILLER_97_591,VPWR,li1,278.0700,274.7200,1.799935
FILLER_97_588,VPWR,li1,276.6900,274.7200,1.799926
FILLER_97_558,VPWR,li1,262.6600,274.7200,1.799868
FILLER_97_517,VPWR,li1,243.5700,274.7200,1.799826
